term,phonetic,definition,translation,example,tags,rootKey,derivatives,frq,pos,mnemonic
coarse,kɒ:s,,"a. 粗糙的, 下等的, 粗俗的； [计] 粗略的",,cet4|cour,cour,coarser|coarsest|coarsing,7903,,
remain,ri'mein,,"vi. 保持, 逗留, 剩余； [法] 停留, 居住, 继续",,cet4|mans,mans,remained|remaining|remains,426,,
permanent,'pә:mәnәnt,,"a. 永久的, 不变的, 固定的, 持久的； n. 烫发",,cet4|mans,mans,,2464,,per + manent 像一直留在原位，permanent 是永久的。
effect,i'fekt,,"n. 结果, 影响, 效果, 印象； vt. 实行, 引起, 完成",,cet4|e (ec & ef),e (ec & ef),effected|effecting|effects,427,,ef + fect 做出来的结果就是 effect 效果。
elaborate,i'læbәreit,,"a. 精细的, 详尽的, 精心计划(或制作)的； vt. 详细地说明, 用心地制作, 发挥",,cet4|e (ec & ef),e (ec & ef),elaborated|elaborates|elaborating,4630,,
former,'fɒ:mә,,"a. 从前的, 前者的； n. 起形成作用的人(或物), 模型, 样板",,cet4|form,form,formers,442,,form 表形状，former 是之前成形的那个。
reform,ri'fɒ:m,,"n. 改革, 改正, 改造； vt. 改革, 改过, 革新, 重整",,cet4|form,form,reformed|reforming|reforms,1112,,re + form，重新塑形就是 reform 改革。
inform,in'fɒ:m,,"vt. 通知, 使了解, 使充满； vi. 提供资料, 告发",,cet4|form,form,informed|informing|informs,2177,,in + form，把信息放进脑中成形就是 inform 通知。
transform,træns'fɒ:m,,"vt. 使转换, 改变, 改造, 使...变形； vi. 改变, 转化, 变换",,cet4|form,form,transformed|transforming|transforms,2185,,trans + form，跨过去换形就是 transform 转变。
formal,'fɒ:mәl,,"a. 正式的, 形式的, 礼仪的, 拘于礼节的, 拘谨的； n. 正式的社交活动",,cet4|form,form,,2211,,form + al，有固定形状和规矩就是 formal 正式。
uniform,'ju:nifɒ:m,,"n. 制服； a. 统一的, 一律的, 始终如一的",,cet4|form,form,uniformed|uniforming|uniforms,3043,,uni + form，一个形状就是 uniform 制服或统一的。
formation,fɒ:'meiʃәn,,"n. 形成, 构造, 编队； [医] 形成, 结构",,cet4|form,form,formations,3045,,form + ation，形成出来的结构就是 formation。
formula,'fɒ:mjulә,,"n. 客套语, 公式, 准则； [计] 公式",,cet4|form,form,formulae,3340,,form + ula，固定成形的表达就是 formula 公式。
require,ri'kwaiә,,"vt. 需要, 命令, 要求； [法] 需要, 要求, 命令",,cet4|quir,quir,required|requires|requiring,446,,re + quire 像反复询问，require 是要求。
acquire,ә'kwaiә,,"vt. 获得, 学到； [电] 目标锁定",,cet4|quir,quir,acquired|acquires|acquiring,2063,,ac + quire，通过追问和努力取得就是 acquire。
effort,'efәt,,"n. 努力, 成就",,cet4|fort,fort,efforts,454,,
comfortable,'kʌmfәtәbl,,"a. 舒服的, 轻松的； n. 盖被",,cet4|fort,fort,,1701,,comfort + able，能带来安稳感就是 comfortable。
comfort,'kʌmfәt,,"n. 舒适, 安慰, 安慰者； vt. 安慰",,cet4|fort,fort,comforted|comforting|comforts,2928,,com + fort 像一起加固内心，comfort 是安慰。
fortnight,'fɒ:tnait,,n. 两星期,,cet4|fort,fort,fortnights,22633,,
rate,reit,,"n. 比率, 率, 速度, 价格, 费用, 等级； vt. 估价, 认为, 鉴定等级, 责骂",,cet4|rat,rat,rated|rates|rating,457,,rate 像给速度和等级打分，rate 是比率或评价。
ratio,'reiʃәu,,"n. 比, 比率； [医] 比, 比率, 比例",,cet4|rat,rat,ratios,3088,,ratio 是 rate 的数字关系版：两个量相互比较。
rational,'ræʃәnl,,"a. 理性的, 合理的； n. 有理数",,cet4|rat,rat,,4481,,ratio + nal，按比例和理性推就是 rational。
value,'vælju:,,"n. 价值, 价格, 购买力, 评价, 估价, 计算结果； vt. 评价, 估价, 重视",,cet4|val,val,valued|values|valuing,499,,value 是你愿意标价保留的东西：价值。
evaluate,i'væljueit,,"vt. 评估, 评价, 赋值",,cet4|val,val,evaluated|evaluates|evaluating,2339,,e + value，把价值估出来就是 evaluate 评估。
valid,'vælid,,"a. 有确实根据的, 有法律效力的, 正当的, 正确的； [经] 有效的",,cet4|val,val,,4703,,valid 像 value 被认可，valid 是有效的。
international,.intә'næʃәnәl,,a. 国际的； n. 国别设定,,cet4|nat,nat,internationals,500,,inter + national，国家之间的就是 international。
nationality,.næʃә'nælәti,,"n. 国籍, 国家, 民族性； [法] 国家, 民族, 国民",,cet4|nat,nat,nationalities,7751,,national + ity，一个人的国家属性就是 nationality。
action,'ækʃәn,,"n. 行动, 活动, 动作, 作用, 战斗, 行为, 诉讼； vt. 对...起诉",,cet4|act,act,actioned|actioning|actions,502,,act + ion，做出来的动作就是 action。
interaction,.intәr'ækʃәn,,"n. 交互作用, 交感； [计] 交互作用",,cet4|act,act,interactions,2075,,inter + action，彼此之间的动作就是 interaction。
exact,ig'zækt,,"a. 精确的, 准确的, 精密的； vt. 强求, 急需",,cet4|act,act,exacted|exacting|exacts,3341,,ex + act，做得完全对准就是 exact 精确。
model,'mɒdәl,,"n. 模型, 模范, 模特儿； a. 模范的, 作模型用的",,cet4|mod,mod,modelled|modelling|models,504,,model 是可照着做的模型。
mode,mәud,,"n. 模态, 调式, 样式, 文体, 状态, 方式, 风尚； [计] 方式; DOS外部命令:设定各种设备命令",,cet4|mod,mod,modes,2793,,mode 是做事的方式和模式。
modest,'mɒdist,,"a. 谦逊的, 羞怯的, 端庄的, 适度的； [经] 适当的",,cet4|mod,mod,,3101,,
modify,'mɒdifai,,"vt. 修正, 变更, 修饰, 缓和, 减轻； vi. 被修改",,cet4|mod,mod,modified|modifies|modifying,3685,,mod + ify，调整模式就是 modify 修改。
position,pә'ziʃәn,,"n. 位置, 地位, 身分, 形势, 姿势, 立场, 职位, 状态, 阵地； vt. 安置, 决定...的位置",,cet4|posit,posit,positioned|positioning|positions,512,,posit 放置，position 是被放到的位置。
positive,'pɒzitiv,,"a. 肯定的, 积极的, 有把握的； [医] 正的, 阳性的",,cet4|posit,posit,positives,1049,,posit 放上去的方向感，positive 是正向或确定。
impose,im'pәuz,,"vt. 征(税), 把...强加于, 以...欺骗； vi. 利用, 欺骗, 施加影响",,cet4|posit,posit,imposed|imposes|imposing,2334,,im + pose，把东西放到别人身上就是 impose 强加。
composition,kɒmpә'ziʃәn,,"n. 作文, 创作, 组成； [化] 成分; 组成",,cet4|posit,posit,compositions,3000,,com + position，把部分放到一起就是 composition 作文或构成。
deposit,di'pɒzit,,"n. 存款, 定金, 堆积物； vt. 存放, 堆积",,cet4|posit,posit,deposited|depositing|deposits,4692,,de + posit，向下放进去就是 deposit 存放或押金。
special,'speʃәl,,"n. 专辑, 专车, 号外, 特别的东西, 负有特别任务的人员； a. 特别的, 专门的, 特殊的, 额外的, 附加的, 特别亲密的",,cet4|speci,speci,specials,520,,spec 看见特别之处，special 就是特殊。
specific,spi'sifik,,"n. 特效药, 特性； a. 特殊的, 明确的, 具有特效的, 特定地, 具体地",,cet4|speci,speci,specifics,979,,spec + ific，看准某一项就是 specific 具体的。
species,'spi:ʃiz,,"n. 种, 类, 外形； [医] 茶剂; 种",,cet4|speci,speci,,1141,,spec 看外形分组，species 是物种。
specialist,'speiʃәlist,,"n. 专门医师, 专家； a. 专业的, 专家的",,cet4|speci,speci,specialists,2546,,special + ist，专看某一类问题的人就是 specialist。
specialize,'speʃәlaiz,,"vt. 使特殊化, 列举, 特别指明, 限定...的范围； vi. 成为专家, 专攻",,cet4|speci,speci,specialized|specializes|specializing,4111,,special + ize，把注意力集中到专门领域就是 specialize。
specify,'spesifai,,"vt. 详列, 指定, 说明； [计] 指定",,cet4|speci,speci,specified|specifies|specifying,4860,,spec + ify，看清并说清就是 specify 指明。
specially,'speʃәli,,"adv. 特别地, 专门地",,cet4|speci,speci,,7946,,
speciality,.speʃi'æliti,,"n. 专长, 擅长, 特种技能, 详细说明, 特性, 特产, 专业； [化] 特制品",,cet4|speci,speci,specialities,23907,,
support,sә'pɒ:t,,"n. 支持, 支撑, 援助, 供养, 支撑物； vt. 支援, 支撑, 帮助, 支持, 忍受, 供养, 证实",,cet4|port,port,supported|supporting|supports,524,,sup + port，从下面托住搬运就是 support 支持。
export,ik'spɒ:t,,"n. 输出品, 输出； vt. 输出, 出口",,cet4|port,port,exported|exporting|exports,3456,,ex + port，运出去就是 export 出口。
import,im'pɒ:t,,"n. 进口货, 进口, 输入, 含义, 重要性； vt. 输入, 引入, 进口, 含...的意思, 重要",,cet4|port,port,imported|importing|imports,4050,,im + port，运进来就是 import 进口。
transport,træns'pɒ:t,,"n. 运输, 运输工具, 激动, 狂喜, 流放犯； vt. 传送, 运输, 流放",,cet4|port,port,transported|transporting|transports,4640,,trans + port，跨地点搬运就是 transport 运输。
portable,'pɒ:tәbl,,"a. 可携带的, 可搬运的, 可移动的； [计] 可移植的",,cet4|port,port,portables,5441,,port + able，能搬走的就是 portable 便携的。
Portuguese,.pɒ:tju'gi:z,,"n. 葡萄牙人, 葡萄牙语； a. 葡萄牙的, 葡萄牙人的, 葡萄牙语的",,cet4|port,port,,10285,,
porter,'pɒ:tә,,"n. 大楼管理员, 门房, 搬运工人, 侍者, 服务员； [化] 搬运车; 搬运工人",,cet4|port,port,porters,11418,,
describe,di'skraib,,"vt. 描述, 描绘, 画",,cet4|scrib,scrib,described|describes|describing,568,,de + scrib，把看到的写下来就是 describe 描述。
prescribe,pris'kraib,,"v. 规定, 指定, 嘱咐, 开处方",,cet4|scrib,scrib,prescribed|prescribes|prescribing,5375,,pre + scrib，提前写好要求就是 prescribe 开处方或规定。
ascribe,ә'skraib,,"vt. 归因于, 归咎于； [法] 归咎于",,cet4|scrib,scrib,ascribed|ascribes|ascribing,10907,,as + scrib，把原因写到某人名下就是 ascribe 归因。
patient,'peiʃәnt,,"n. 病人, 承受者； a. 忍耐的, 容忍的, 有耐性的, 坚忍的",,cet4|pat,pat,patients,572,,pat 表承受，patient 是能忍受的人或病人。
passive,'pæsiv,,"a. 消极的, 被动的, 冷漠的, 顺从的, 无源的； [医] 被动的",,cet4|pat,pat,passives,5680,,pass 表承受，passive 是被动承受。
certain,'sә:tәn,,"a. 确定的, 某一个的, 必然的； [法] 确凿的, 无疑的, 可靠的",,cet4|cert,cert,,577,,certain 是心里已经定住：确定的。
concert,'kɒnsәt,,"n. 音乐会, 和声, 一致； vt. 协力, 协调",,cet4|cert,cert,concerting|concerts,2515,,
uncertain,.ʌn'sә:tn,,"a. 不确定的, 无常的, 不确信的, 不可预测的； [法] 不确定的, 未定的, 不确信的",,cet4|cert,cert,,4291,,un + certain，没有定住就是 uncertain 不确定。
certificate,sә'tifikeit,,"n. 证书, 证明书； vt. 发给证明书, 用证书批准, 用证书证明",,cet4|cert,cert,certificated|certificates|certificating,5237,,cert 确定 + fic 做，certificate 是证明书。
certainty,'sә:tәnti,,"n. 确定, 确实的事情； [法] 确定, 肯定, 必然的事",,cet4|cert,cert,certainties,5560,,cert 定住后的状态就是 certainty 确定性。
technology,tek'nɒlәdʒi,,"n. 技术, 工业技术, 术语； [医] 技术学, 工艺学",,cet4|techn,techn,technologies,585,,tech 技术 + logy 学问，technology 是技术体系。
technique,tek'ni:k,,"n. 技巧, 技术, 方法； [化] 工艺方法; 技巧",,cet4|techn,techn,techniques,1335,,technique 是具体可操作的技术方法。
technical,'teknikl,,"a. 技术上的, 专门的, 工业的, 严格根据法律的； [化] 技巧",,cet4|techn,techn,,2064,,tech + ical，和技术细节有关就是 technical。
technician,tek'niʃәn,,n. 技师； [化] 技师,,cet4|techn,techn,technicians,4831,,tech + nician，处理技术细节的人就是 technician。
type,taip,,"n. 类型, 样式, 典型, 榜样, 标志, 符号, 型, 式； vi. 打字",,cet4|typ,typ,typed|types|typing,590,,type 是把东西按样式归类。
typical,'tipikl,,"a. 典型的, 象征性的； [医] 典型的",,cet4|typ,typ,,1835,,type + ical，符合这一类样式就是 typical 典型。
source,sɒ:s,,"n. 来源, 水源, 根源, 原始资料, 源； [计] 来源, 源程序",,cet4|surg,surg,sourced|sources|sourcing,597,,source 是水或信息流出来的源头。
surgery,'sә:dʒәri,,"n. 外科, 手术, 手术室, 换球术",,cet4|surg,surg,surgeries,1793,,surg 像切开处理，surgery 是外科手术。
surgeon,'sә:dʒәn,,"n. 外科医生, 军医, 船医； [医] 外科医师",,cet4|surg,surg,surgeons,3413,,surg + eon，做外科手术的人就是 surgeon。
century,'sentʃuri,,"n. 世纪, 百年",,cet4|cent,cent,centuries,605,,
centigrade,'sentigreid,,"a. 百分度的, 摄氏的； [医] 百分度",,cet4|cent,cent,,0,,
centimetre,"'senti,mi:tә(r)",,"n. 厘米, 公分",,cet4|cent,cent,centimetres,0,,
centre,'sentә,,"n. 中心, 中心点, 中锋； a. 中央的, 位在正中的",,cet4|cent,cent,centred|centres|centring,0,,
culture,'kʌltʃә,,"n. 文化, 修养, 耕种； vt. 耕种, 培养",,cet4|cult,cult,cultured|cultures|culturing,611,,cult 培养，culture 是长期培养出的文化。
cultivate,'kʌltiveit,,"vt. 培养, 耕作",,cet4|cult,cult,cultivated|cultivates|cultivating,5574,,cult + ate，持续培养就是 cultivate。
period,'piәriәd,,"n. 时期, 节段, 节, 句点, 学时, 周期； a. 当时特有的, 过去某段时期的",,cet4|hod,hod,periods,617,,period 是一段被圈定的时间。
method,'meθәd,,"n. 方法, 办法, 条理, 秩序； [医] [方]法",,cet4|hod,hod,methods,998,,method 是按路子做事的方法。
available,ә'veilәbl,,"a. 可利用的, 可获得的, 有效的； [医] 有效的, 可得的",,cet4|vail,vail,,622,,a + vail + able，能拿来使用就是 available。
prevail,pri'veil,,"vi. 获胜, 流行, 盛行； [医] 流行, 盛行",,cet4|vail,vail,prevailed|prevailing|prevails,4741,,pre + vail，力量占上风就是 prevail 盛行。
congress,'kɒŋgres,,"n. 国会, 会议, 讨论会； [医] 会议, 会合",,cet4|grad,grad,congresses,638,,
degree,di'gri:,,"n. 程度, 度数, 学位, 度； [医] 度, 程度",,cet4|grad,grad,degrees,789,,de + gree，台阶级别就是 degree 程度或学位。
progress,'prәugres,,"n. 进步, 发展, 前进； vi. 进步, 进行",,cet4|grad,grad,progressed|progresses|progressing,1508,,pro + gress，向前走就是 progress 进步。
graduate,'grædʒueit,,"n. 毕业生, 量杯； a. 已得学位的, 研究生的, 毕业的",,cet4|grad,grad,graduated|graduates|graduating,2115,,
aggressive,ә'gresiv,,"a. 侵略的, 挑畔的, 进取的； [法] 侵略的, 爱挑衅的, 行为过火的",,cet4|grad,grad,,2514,,
ingredient,in'gri:diәnt,,"n. 成分, 因素； [化] 配合剂; 拼料; 成分; 组分",,cet4|grad,grad,ingredients,2590,,
gradually,'grædʒuәli,,adv. 逐渐地,,cet4|grad,grad,,2961,,
progressive,prә'gresiv,,"n. 改革论者, 进步论者； a. 前进的, 累进的, 进步的",,cet4|grad,grad,progressives,4228,,
gradual,'grædʒuәl,,"a. 逐渐的, 渐增的； n. 弥撒升阶圣歌",,cet4|grad,grad,,6796,,
campaign,kæm'pein,,"n. 战役, 运动, 竞选运动； vi. 参加运动, 作战",,cet4|camp,camp,campaigned|campaigning|campaigns,640,,
campus,'kæmpәs,,"n. 校园, 大学生活",,cet4|camp,camp,,2059,,
material,mә'tiәriәl,,"n. 材料, 物资, 素材, 布料, 资料； a. 物质的, 肉体的, 重要的",,cet4|mater,mater,materials,641,,
materialism,mә'tiәriәlizm,,n. 唯物主义,,cet4|mater,mater,,12791,,
population,.pɒpju'leiʃәn,,"n. 人口, 人口数； [化] 群体; 总体",,cet4|popul,popul,populations,642,,
popular,'pɒpjulә,,"a. 通俗的, 流行的, 受欢迎的, 大众的, 人民的, 普及的； [经] 大众的, 通俗的, 普及的",,cet4|popul,popul,populars,924,,
medical,'medikl,,"n. 医生, 体格检查； a. 医学的, 内科的, 药的",,cet4|medi,medi,medicals,646,,
immediately,i'mi:diәtli,,"adv. 直接地, 立刻, 立即",,cet4|medi,medi,,1142,,
medium,'mi:diәm,,"n. 媒体, 方法, 媒介； a. 半生熟的, 中间的",,cet4|medi,medi,mediums,3241,,
Mediterranean,.meditә'reiniәn,,"n. 地中海, 地中海民族； a. 地中海的, 地中海民族的",,cet4|medi,medi,,7623,,
current,'kʌrәnt,,"n. 涌流, 趋势, 流； a. 流通的, 现在的, 当前的, 流行的",,cet4|cur,cur,currents,652,,
occur,ә'kә:,,"vi. 发生, 被想到, 存在",,cet4|cur,cur,occurred|occurring|occurs,756,,
involve,in'vɒlv,,"vt. 包括, 使陷于, 潜心于, 包围； [医] 累及, 牵涉, 包含",,cet4|volv,volv,involved|involves|involving,656,,
evolve,i'vɒlv,,"vi. 进展, 进化, 展开； vt. 使发展, 使推断出, 使进化",,cet4|volv,volv,evolved|evolves|evolving,2821,,
behavior,bi'heivjә,,"n. 行为, 举止； [医] 行为",,cet4|be,be,behaviors,658,,
beloved,bi'lʌvd,,a. 心爱的； n. 心爱的人,,cet4|be,be,beloveds,4947,,
betray,bi'trei,,"vt. 出卖, 背叛, 辜负, 暴露； [法] 出卖, 背叛, 泄漏",,cet4|be,be,betrayed|betraying|betrays,4974,,
increase,in'kri:s,,"n. 增加, 增进, 利益； vt. 增加, 加大",,cet4|creas,creas,increased|increases|increasing,660,,
decrease,'di:kri:s,,"n. 减少, 减少量； v. 减少",,cet4|creas,creas,decreased|decreases|decreasing,3370,,
private,'praivit,,"a. 私人的, 秘密的, 私立的, 隐蔽的； n. 士兵, 隐士, 阴部",,cet4|priv,priv,privates,672,,
privilege,'privilidʒ,,"n. 特权, 特别恩典, 基本权利, 特免； vt. 给与...特权, 特免",,cet4|priv,priv,privileged|privileges|privileging,3612,,
performance,pә'fɒ:mәns,,"n. 施行, 工作情况, 成绩, 行为, 表现, 演出； [电] 绩效, 性能",,cet4|fourn,fourn,performances,675,,
furnish,'fә:niʃ,,"vt. 供给, 提供, 装设； [化] 供应; 供给; 配料",,cet4|fourn,fourn,furnished|furnishes|furnishing,7335,,
agency,'eidʒәnsi,,"n. 代理机构, 经销商, 中介； [化] 办事处",,cet4|ag,ag,agencies,694,,
agent,'eidʒәnt,,"n. 代理商, 政府代表, 动原, 媒介； [计] 代理程序",,cet4|ag,ag,agents,1020,,
concern,kәn'sә:n,,"n. 关心, 忧虑； vt. 与...有关, 使担心, 使挂念",,cet4|cern,cern,concerned|concerning|concerns,717,,
secret,'si:krit,,"n. 秘密, 机密, 秘诀, 秘方； a. 秘密的, 极机密的, 隐蔽的, 暗中的, 神秘的, 偏僻的",,cet4|cern,cern,secrets,1868,,
significant,sig'nifikәnt,,"a. 重要的, 有效的, 有含义的, 暗示的, 值得注意的",,cet4|sign,sign,,719,,
signal,'signl,,"n. 信号, 暗号, 近因, 导火线； vt. 向...作信号, 标志, 用信号通知",,cet4|sign,sign,signalled|signalling|signals,2078,,
significance,sig'nifikәns,,"n. 重要性, 意义, 意味； [计] 有效; 有效性",,cet4|sign,sign,significances,2937,,
assignment,ә'sainmәnt,,"n. 分配, 功课, 任务, 转让, 归因, 陈述； [计] 赋值",,cet4|sign,sign,assignments,3128,,
signature,'signәtʃә,,"n. 签字, 识别标志, 调号； [计] 签名附件",,cet4|sign,sign,signatures,3773,,
resignation,.rezig'neiʃәn,,"n. 辞职, 辞呈, 听从； [经] 辞职",,cet4|sign,sign,resignations,5762,,
insignificant,.insig'nifikәnt,,"a. 无关紧要的, 无意义的, 琐碎的",,cet4|sign,sign,,8884,,
response,ri'spɒns,,"n. 反应, 回答, 响应； [计] 应答",,cet4|spons,spons,responses,725,,
responsible,ri'spɒnsәbl,,"a. 有责任的, 负责的, 责任重大的； [法] 应负责任的, 有责任的, 能履行责任的",,cet4|spons,spons,,1365,,
sponsor,'spɒnsә,,"n. 保证人, 赞助者, 发起者, 倡议者, 教父； vt. 发起, 赞助, 倡议",,cet4|spons,spons,sponsored|sponsoring|sponsors,3453,,
factor,'fæktә,,"n. 因素, 因数, 系数, 基因, 代理人； [计] 因式",,cet4|fac,fac,factored|factoring|factors,729,,
faculty,'fækәlti,,"n. 才能, 能力, 全体教员, (大学的)系； [医] 能力, [大学]院系",,cet4|fac,fac,faculties,1985,,
artist,'ɑ:tist,,"n. 艺术家, 画家",,cet4|art,art,artists,736,,
artificial,.ɑ:ti'fiʃәl,,"a. 人造的, 假的, 非原地产的； [医] 人工的, 人造的, 伟牟",,cet4|art,art,artificials,4003,,
career,kә'riә,,"n. 事业, 生涯, 成功； [法] 职业, 专业, 履历",,cet4|caric,caric,careered|careering|careers,741,,
carriage,'kæridʒ,,"n. 马车, 客车, 举止, 运输； [经] 搬运费, 运费",,cet4|caric,caric,carriages,6534,,
treatment,'tri:tmәnt,,"n. 治疗, 待遇, 处理； [医] 疗法, 治疗; 处理",,cet4|treat,treat,treatments,745,,
treaty,'tri:ti,,"n. 条约, 谈判； [经] 协议, 协定, 协商",,cet4|treat,treat,treaties,2836,,
retreat,ri'tri:t,,"n. 休息寓所, 撤退, 隐居, 退避； vi. 撤退, 隐退, 向后倾",,cet4|treat,treat,retreated|retreating|retreats,4787,,
serious,'siәriәs,,"a. 严肃的, 认真的, 重要的, 严重的； [电] 严重的",,cet4|seri,seri,,755,,
seriously,'siәriәsli,,"adv. 严肃地, 认真地, 严重地",,cet4|seri,seri,,1908,,
individual,.indi'vidʒuәl,,"n. 人, 个人, 个体； a. 个别的, 个人的, 独特的",,cet4|divid,divid,individuals,762,,
device,di'vais,,"n. 装置, 设计, 策略, 发明物, 设备； [计] 设备; DOS内部命令:该命令要求DOS安装一个设备驱动程序",,cet4|divid,divid,devices,1507,,
division,di'viʒәn,,"n. 分, 分开, 除法, 部门(如部、处、系等), 师； [计] 部分",,cet4|divid,divid,divisions,1849,,
divide,di'vaid,,"vi. 分开, 分配, 分裂； vt. 分, 分开, 分裂, 除",,cet4|divid,divid,divided|divides|dividing,1942,,
devise,di'vaiz,,"vt. 设计, 发明, 图谋, 遗赠给； n. 遗赠",,cet4|divid,divid,devised|devises|devising,4960,,
quality,'kwɒlәti,,"n. 品质, 特性, 才能, 质量； a. 优质的",,cet4|qual,qual,qualities,764,,
qualify,'kwɒlifai,,"vi. 取得资格, 有资格； vt. 使有资格, 使合格, 限定, 限制, 准予",,cet4|qual,qual,qualified|qualifies|qualifying,3049,,
pressure,'preʃә,,"n. 压, 榨, 按, 强制, 压力, 压迫, 压强； vt. 迫使, 使增压, 密封",,cet4|press,press,pressured|pressures|pressuring,765,,
