term,phonetic,definition,translation,example,tags,rootKey,derivatives,frq,pos,mnemonic
consideration,kәn.sidә'reiʃәn,,"n. 考虑, 原因； [法] 考虑, 思考, 报酬",,ky|sider,sider,considerations,2487,,consider 后形成的名词，consideration 是认真考虑。
sense,sens,,"n. 感应, 感觉, 感官, 意识, 观念, 情理, 知觉, 理智； vt. 感觉, 觉察, 检测",,ky|sens,sens,sensed|senses|sensing,407,,sense 像 sensor，感官收到的就是 sense。
sensitive,'sensitiv,,"a. 敏感的, 易感的, 灵敏的, 感光的； [机] 敏感的, 灵敏的, 感度高的",,ky|sens,sens,sensitives,2506,,sense + tive，容易感到变化就是 sensitive。
consensus,kәn'sensәs,,"n. 合意, 一致, 同感； [计] 合意",,ky|sens,sens,,3317,,
sensation,sen'seiʃәn,,"n. 感觉, 轰动； [医] 感觉",,ky|sens,sens,sensations,4378,,
nonsense,'nɒnsәns,,"n. 无意义的事, 荒谬言行, 荒唐",,ky|sens,sens,nonsenses,5969,,non + sense，没有 sense 就是 nonsense 胡话。
sensible,'sensәbl,,"a. 有感觉的, 敏感的, 明智的； [医] 可感觉的",,ky|sens,sens,,6126,,sense + ible，能讲得通就是 sensible 明智。
course,kɒ:s,,"n. 课程, 路线, 过程, 一道菜, 道路； v. 追, (使)跑",,ky|cour,cour,coursed|courses|coursing,418,,
courage,'kʌridʒ,,"n. 勇气, 胆量",,ky|cour,cour,,3324,,
coarse,kɒ:s,,"a. 粗糙的, 下等的, 粗俗的； [计] 粗略的",,ky|cour,cour,coarser|coarsest|coarsing,7903,,
remain,ri'mein,,"vi. 保持, 逗留, 剩余； [法] 停留, 居住, 继续",,ky|mans,mans,remained|remaining|remains,426,,
permanent,'pә:mәnәnt,,"a. 永久的, 不变的, 固定的, 持久的； n. 烫发",,ky|mans,mans,,2464,,per + manent 像一直留在原位，permanent 是永久的。
effect,i'fekt,,"n. 结果, 影响, 效果, 印象； vt. 实行, 引起, 完成",,ky|e (ec & ef),e (ec & ef),effected|effecting|effects,427,,ef + fect 做出来的结果就是 effect 效果。
elaborate,i'læbәreit,,"a. 精细的, 详尽的, 精心计划(或制作)的； vt. 详细地说明, 用心地制作, 发挥",,ky|e (ec & ef),e (ec & ef),elaborated|elaborates|elaborating,4630,,
eject,i'dʒekt,,"vt. 逐放, 放逐, 喷射； [化] 排出",,ky|e (ec & ef),e (ec & ef),ejected|ejecting|ejects,10924,,
former,'fɒ:mә,,"a. 从前的, 前者的； n. 起形成作用的人(或物), 模型, 样板",,ky|form,form,formers,442,,form 表形状，former 是之前成形的那个。
reform,ri'fɒ:m,,"n. 改革, 改正, 改造； vt. 改革, 改过, 革新, 重整",,ky|form,form,reformed|reforming|reforms,1112,,re + form，重新塑形就是 reform 改革。
inform,in'fɒ:m,,"vt. 通知, 使了解, 使充满； vi. 提供资料, 告发",,ky|form,form,informed|informing|informs,2177,,in + form，把信息放进脑中成形就是 inform 通知。
transform,træns'fɒ:m,,"vt. 使转换, 改变, 改造, 使...变形； vi. 改变, 转化, 变换",,ky|form,form,transformed|transforming|transforms,2185,,trans + form，跨过去换形就是 transform 转变。
formal,'fɒ:mәl,,"a. 正式的, 形式的, 礼仪的, 拘于礼节的, 拘谨的； n. 正式的社交活动",,ky|form,form,,2211,,form + al，有固定形状和规矩就是 formal 正式。
uniform,'ju:nifɒ:m,,"n. 制服； a. 统一的, 一律的, 始终如一的",,ky|form,form,uniformed|uniforming|uniforms,3043,,uni + form，一个形状就是 uniform 制服或统一的。
formation,fɒ:'meiʃәn,,"n. 形成, 构造, 编队； [医] 形成, 结构",,ky|form,form,formations,3045,,form + ation，形成出来的结构就是 formation。
formula,'fɒ:mjulә,,"n. 客套语, 公式, 准则； [计] 公式",,ky|form,form,formulae,3340,,form + ula，固定成形的表达就是 formula 公式。
format,'fɒ:mæt,,"n. 开本, 版式, 形式, 格式； vt. 格式化",,ky|form,form,formats|formatted|formatting,3730,,
formulate,'fɒ:mjuleit,,"vt. 用公式表示, 明确叙述, 制订； [机] 公式化, 公式表示",,ky|form,form,formulated|formulates|formulating,5843,,
conform,kәn'fɒ:m,,"vt. 使一致, 使遵守, 使符合； vi. 一致, 符合, 适应",,ky|form,form,conformed|conforming|conforms,6957,,
formulation,.fɒ:mju'leiʃәn,,"n. 系统陈述, 公式化, 配制； [化] 表述; 数学表述; 数式化; 数学表述",,ky|form,form,formulations,7322,,
deform,di'fɒ:m,,"vt. 使残缺, 使变形； vi. 变形",,ky|form,form,deformed|deforming|deforms,23023,,
require,ri'kwaiә,,"vt. 需要, 命令, 要求； [法] 需要, 要求, 命令",,ky|quir,quir,required|requires|requiring,446,,re + quire 像反复询问，require 是要求。
acquire,ә'kwaiә,,"vt. 获得, 学到； [电] 目标锁定",,ky|quir,quir,acquired|acquires|acquiring,2063,,ac + quire，通过追问和努力取得就是 acquire。
exquisite,'ekskwizit,,"a. 精致的, 细腻的, 敏锐的",,ky|quir,quir,,8096,,
enquire,in'kwaiә,,v. 询问,,ky|quir,quir,enquired|enquires|enquiring,29201,,
effort,'efәt,,"n. 努力, 成就",,ky|fort,fort,efforts,454,,
comfortable,'kʌmfәtәbl,,"a. 舒服的, 轻松的； n. 盖被",,ky|fort,fort,,1701,,comfort + able，能带来安稳感就是 comfortable。
comfort,'kʌmfәt,,"n. 舒适, 安慰, 安慰者； vt. 安慰",,ky|fort,fort,comforted|comforting|comforts,2928,,com + fort 像一起加固内心，comfort 是安慰。
forthcoming,'fɒ:θ'kʌmɑŋ,,a. 即将来临的； n. 来临,,ky|fort,fort,,6748,,
fortnight,'fɒ:tnait,,n. 两星期,,ky|fort,fort,fortnights,22633,,
rate,reit,,"n. 比率, 率, 速度, 价格, 费用, 等级； vt. 估价, 认为, 鉴定等级, 责骂",,ky|rat,rat,rated|rates|rating,457,,rate 像给速度和等级打分，rate 是比率或评价。
ratio,'reiʃәu,,"n. 比, 比率； [医] 比, 比率, 比例",,ky|rat,rat,ratios,3088,,ratio 是 rate 的数字关系版：两个量相互比较。
rational,'ræʃәnl,,"a. 理性的, 合理的； n. 有理数",,ky|rat,rat,,4481,,ratio + nal，按比例和理性推就是 rational。
military,'militәri,,"n. 军队； a. 军事的, 军人的, 适于战争的",,ky|milit,milit,,474,,
militant,'militәnt,,a. 好战的,,ky|milit,milit,militants,7179,,
federal,'fedәrәl,,"a. 联邦的, 联合的, 同盟的； [法] 联邦的, 联邦制的, 联盟的",,ky|feder,feder,,493,,
federation,fedә'reiʃәn,,"n. 联邦, 联合, 联盟； [法] 联邦, 联盟, 联邦政府",,ky|feder,feder,federations,9044,,
value,'vælju:,,"n. 价值, 价格, 购买力, 评价, 估价, 计算结果； vt. 评价, 估价, 重视",,ky|val,val,valued|values|valuing,499,,value 是你愿意标价保留的东西：价值。
evaluate,i'væljueit,,"vt. 评估, 评价, 赋值",,ky|val,val,evaluated|evaluates|evaluating,2339,,e + value，把价值估出来就是 evaluate 评估。
valid,'vælid,,"a. 有确实根据的, 有法律效力的, 正当的, 正确的； [经] 有效的",,ky|val,val,,4703,,valid 像 value 被认可，valid 是有效的。
invalid,in'vælid,,"n. 病人, 残废者； a. 有病的, 无效的",,ky|val,val,invalided|invaliding|invalids,17470,,
international,.intә'næʃәnәl,,a. 国际的； n. 国别设定,,ky|nat,nat,internationals,500,,inter + national，国家之间的就是 international。
naive,nɑ:'i:v,,"a. 天真的, 纯真的, 幼稚的",,ky|nat,nat,,6114,,
nationality,.næʃә'nælәti,,"n. 国籍, 国家, 民族性； [法] 国家, 民族, 国民",,ky|nat,nat,nationalities,7751,,national + ity，一个人的国家属性就是 nationality。
renaissance,ri'neisәns,,"n. 复活, 复兴, 文艺复兴； a. 文艺复兴的",,ky|nat,nat,,11032,,
action,'ækʃәn,,"n. 行动, 活动, 动作, 作用, 战斗, 行为, 诉讼； vt. 对...起诉",,ky|act,act,actioned|actioning|actions,502,,act + ion，做出来的动作就是 action。
exact,ig'zækt,,"a. 精确的, 准确的, 精密的； vt. 强求, 急需",,ky|act,act,exacted|exacting|exacts,3341,,ex + act，做得完全对准就是 exact 精确。
transaction,træn'sækʃәn,,"n. 交易, 办理, 学报, 和解协议； [计] 事务处理",,ky|act,act,transactions,3813,,
model,'mɒdәl,,"n. 模型, 模范, 模特儿； a. 模范的, 作模型用的",,ky|mod,mod,modelled|modelling|models,504,,model 是可照着做的模型。
mode,mәud,,"n. 模态, 调式, 样式, 文体, 状态, 方式, 风尚； [计] 方式; DOS外部命令:设定各种设备命令",,ky|mod,mod,modes,2793,,mode 是做事的方式和模式。
modest,'mɒdist,,"a. 谦逊的, 羞怯的, 端庄的, 适度的； [经] 适当的",,ky|mod,mod,,3101,,
modify,'mɒdifai,,"vt. 修正, 变更, 修饰, 缓和, 减轻； vi. 被修改",,ky|mod,mod,modified|modifies|modifying,3685,,mod + ify，调整模式就是 modify 修改。
commodity,kә'mɒditi,,"n. 农产品, 商品, 有用的物品； [经] 商品, 货物, 日用品",,ky|mod,mod,commodities,4581,,
position,pә'ziʃәn,,"n. 位置, 地位, 身分, 形势, 姿势, 立场, 职位, 状态, 阵地； vt. 安置, 决定...的位置",,ky|posit,posit,positioned|positioning|positions,512,,posit 放置，position 是被放到的位置。
positive,'pɒzitiv,,"a. 肯定的, 积极的, 有把握的； [医] 正的, 阳性的",,ky|posit,posit,positives,1049,,posit 放上去的方向感，positive 是正向或确定。
impose,im'pәuz,,"vt. 征(税), 把...强加于, 以...欺骗； vi. 利用, 欺骗, 施加影响",,ky|posit,posit,imposed|imposes|imposing,2334,,im + pose，把东西放到别人身上就是 impose 强加。
composition,kɒmpә'ziʃәn,,"n. 作文, 创作, 组成； [化] 成分; 组成",,ky|posit,posit,compositions,3000,,com + position，把部分放到一起就是 composition 作文或构成。
deposit,di'pɒzit,,"n. 存款, 定金, 堆积物； vt. 存放, 堆积",,ky|posit,posit,deposited|depositing|deposits,4692,,de + posit，向下放进去就是 deposit 存放或押金。
special,'speʃәl,,"n. 专辑, 专车, 号外, 特别的东西, 负有特别任务的人员； a. 特别的, 专门的, 特殊的, 额外的, 附加的, 特别亲密的",,ky|speci,speci,specials,520,,spec 看见特别之处，special 就是特殊。
specific,spi'sifik,,"n. 特效药, 特性； a. 特殊的, 明确的, 具有特效的, 特定地, 具体地",,ky|speci,speci,specifics,979,,spec + ific，看准某一项就是 specific 具体的。
species,'spi:ʃiz,,"n. 种, 类, 外形； [医] 茶剂; 种",,ky|speci,speci,,1141,,spec 看外形分组，species 是物种。
specialist,'speiʃәlist,,"n. 专门医师, 专家； a. 专业的, 专家的",,ky|speci,speci,specialists,2546,,special + ist，专看某一类问题的人就是 specialist。
specialize,'speʃәlaiz,,"vt. 使特殊化, 列举, 特别指明, 限定...的范围； vi. 成为专家, 专攻",,ky|speci,speci,specialized|specializes|specializing,4111,,special + ize，把注意力集中到专门领域就是 specialize。
specify,'spesifai,,"vt. 详列, 指定, 说明； [计] 指定",,ky|speci,speci,specified|specifies|specifying,4860,,spec + ify，看清并说清就是 specify 指明。
specification,.spesifi'keiʃәn,,"n. 规格, 详述, 详细说明书； [计] 规范; 形式说明; 说明; 说明书; 规格",,ky|speci,speci,specifications,7835,,
speciality,.speʃi'æliti,,"n. 专长, 擅长, 特种技能, 详细说明, 特性, 特产, 专业； [化] 特制品",,ky|speci,speci,specialities,23907,,
support,sә'pɒ:t,,"n. 支持, 支撑, 援助, 供养, 支撑物； vt. 支援, 支撑, 帮助, 支持, 忍受, 供养, 证实",,ky|port,port,supported|supporting|supports,524,,sup + port，从下面托住搬运就是 support 支持。
export,ik'spɒ:t,,"n. 输出品, 输出； vt. 输出, 出口",,ky|port,port,exported|exporting|exports,3456,,ex + port，运出去就是 export 出口。
import,im'pɒ:t,,"n. 进口货, 进口, 输入, 含义, 重要性； vt. 输入, 引入, 进口, 含...的意思, 重要",,ky|port,port,imported|importing|imports,4050,,im + port，运进来就是 import 进口。
transport,træns'pɒ:t,,"n. 运输, 运输工具, 激动, 狂喜, 流放犯； vt. 传送, 运输, 流放",,ky|port,port,transported|transporting|transports,4640,,trans + port，跨地点搬运就是 transport 运输。
portable,'pɒ:tәbl,,"a. 可携带的, 可搬运的, 可移动的； [计] 可移植的",,ky|port,port,portables,5441,,port + able，能搬走的就是 portable 便携的。
porter,'pɒ:tә,,"n. 大楼管理员, 门房, 搬运工人, 侍者, 服务员； [化] 搬运车; 搬运工人",,ky|port,port,porters,11418,,
describe,di'skraib,,"vt. 描述, 描绘, 画",,ky|scrib,scrib,described|describes|describing,568,,de + scrib，把看到的写下来就是 describe 描述。
prescribe,pris'kraib,,"v. 规定, 指定, 嘱咐, 开处方",,ky|scrib,scrib,prescribed|prescribes|prescribing,5375,,pre + scrib，提前写好要求就是 prescribe 开处方或规定。
subscribe,sәb'skraib,,"vt. 捐献, 签署； vi. 赞成, 同意, 捐款, 预订, 认购",,ky|scrib,scrib,subscribed|subscribes|subscribing,7979,,
patient,'peiʃәnt,,"n. 病人, 承受者； a. 忍耐的, 容忍的, 有耐性的, 坚忍的",,ky|pat,pat,patients,572,,pat 表承受，patient 是能忍受的人或病人。
passive,'pæsiv,,"a. 消极的, 被动的, 冷漠的, 顺从的, 无源的； [医] 被动的",,ky|pat,pat,passives,5680,,pass 表承受，passive 是被动承受。
compatible,kәm'pætәbl,,"a. 能共处的, 可并立的, 适合的； [计] 相容的; 兼容的",,ky|pat,pat,compatibles,7017,,
certain,'sә:tәn,,"a. 确定的, 某一个的, 必然的； [法] 确凿的, 无疑的, 可靠的",,ky|cert,cert,,577,,certain 是心里已经定住：确定的。
concert,'kɒnsәt,,"n. 音乐会, 和声, 一致； vt. 协力, 协调",,ky|cert,cert,concerting|concerts,2515,,
certificate,sә'tifikeit,,"n. 证书, 证明书； vt. 发给证明书, 用证书批准, 用证书证明",,ky|cert,cert,certificated|certificates|certificating,5237,,cert 确定 + fic 做，certificate 是证明书。
certainty,'sә:tәnti,,"n. 确定, 确实的事情； [法] 确定, 肯定, 必然的事",,ky|cert,cert,certainties,5560,,cert 定住后的状态就是 certainty 确定性。
certify,'sә:tifai,,"v. 证明, 保证",,ky|cert,cert,certified|certifies|certifying,7042,,
ascertain,.æsә'tein,,"vt. 确定, 查明； [法] 查明, 弄清, 确定",,ky|cert,cert,ascertained|ascertaining|ascertains,9571,,
technology,tek'nɒlәdʒi,,"n. 技术, 工业技术, 术语； [医] 技术学, 工艺学",,ky|techn,techn,technologies,585,,tech 技术 + logy 学问，technology 是技术体系。
technique,tek'ni:k,,"n. 技巧, 技术, 方法； [化] 工艺方法; 技巧",,ky|techn,techn,techniques,1335,,technique 是具体可操作的技术方法。
technical,'teknikl,,"a. 技术上的, 专门的, 工业的, 严格根据法律的； [化] 技巧",,ky|techn,techn,,2064,,tech + ical，和技术细节有关就是 technical。
technician,tek'niʃәn,,n. 技师； [化] 技师,,ky|techn,techn,technicians,4831,,tech + nician，处理技术细节的人就是 technician。
type,taip,,"n. 类型, 样式, 典型, 榜样, 标志, 符号, 型, 式； vi. 打字",,ky|typ,typ,typed|types|typing,590,,type 是把东西按样式归类。
typical,'tipikl,,"a. 典型的, 象征性的； [医] 典型的",,ky|typ,typ,,1835,,type + ical，符合这一类样式就是 typical 典型。
attention,ә'tenʃәn,,"n. 注意, 注意力； [计] 引起注意信号",,ky|tent,tent,attentions,591,,
tentative,'tentәtiv,,"n. 试验； a. 试验性的, 暂时的",,ky|tent,tent,,7722,,
source,sɒ:s,,"n. 来源, 水源, 根源, 原始资料, 源； [计] 来源, 源程序",,ky|surg,surg,sourced|sources|sourcing,597,,source 是水或信息流出来的源头。
surgery,'sә:dʒәri,,"n. 外科, 手术, 手术室, 换球术",,ky|surg,surg,surgeries,1793,,surg 像切开处理，surgery 是外科手术。
surgeon,'sә:dʒәn,,"n. 外科医生, 军医, 船医； [医] 外科医师",,ky|surg,surg,surgeons,3413,,surg + eon，做外科手术的人就是 surgeon。
surge,sә:dʒ,,"n. 巨涌, 汹涌, 澎湃； vi. 汹涌, 澎湃, 颠簸, 猛冲, 突然放松",,ky|surg,surg,surged|surges|surging,5029,,
century,'sentʃuri,,"n. 世纪, 百年",,ky|cent,cent,centuries,605,,
centigrade,'sentigreid,,"a. 百分度的, 摄氏的； [医] 百分度",,ky|cent,cent,,0,,
centimetre,"'senti,mi:tә(r)",,"n. 厘米, 公分",,ky|cent,cent,centimetres,0,,
centre,'sentә,,"n. 中心, 中心点, 中锋； a. 中央的, 位在正中的",,ky|cent,cent,centred|centres|centring,0,,
culture,'kʌltʃә,,"n. 文化, 修养, 耕种； vt. 耕种, 培养",,ky|cult,cult,cultured|cultures|culturing,611,,cult 培养，culture 是长期培养出的文化。
cultivate,'kʌltiveit,,"vt. 培养, 耕作",,ky|cult,cult,cultivated|cultivates|cultivating,5574,,cult + ate，持续培养就是 cultivate。
energy,'enәdʒi,,"n. 精力, 精神, 活力, 能量； [化] 能; 能量",,ky|erg,erg,energies,615,,
energetic,.enә'dʒetik,,"a. 精力充沛的, 积极的",,ky|erg,erg,energetics,7129,,
period,'piәriәd,,"n. 时期, 节段, 节, 句点, 学时, 周期； a. 当时特有的, 过去某段时期的",,ky|hod,hod,periods,617,,period 是一段被圈定的时间。
method,'meθәd,,"n. 方法, 办法, 条理, 秩序； [医] [方]法",,ky|hod,hod,methods,998,,method 是按路子做事的方法。
available,ә'veilәbl,,"a. 可利用的, 可获得的, 有效的； [医] 有效的, 可得的",,ky|vail,vail,,622,,a + vail + able，能拿来使用就是 available。
prevail,pri'veil,,"vi. 获胜, 流行, 盛行； [医] 流行, 盛行",,ky|vail,vail,prevailed|prevailing|prevails,4741,,pre + vail，力量占上风就是 prevail 盛行。
avail,ә'veil,,"vi. 有用, 有利； vt. 有利于",,ky|vail,vail,availed|availing|avails,14262,,
congress,'kɒŋgres,,"n. 国会, 会议, 讨论会； [医] 会议, 会合",,ky|grad,grad,congresses,638,,
degree,di'gri:,,"n. 程度, 度数, 学位, 度； [医] 度, 程度",,ky|grad,grad,degrees,789,,de + gree，台阶级别就是 degree 程度或学位。
progress,'prәugres,,"n. 进步, 发展, 前进； vi. 进步, 进行",,ky|grad,grad,progressed|progresses|progressing,1508,,pro + gress，向前走就是 progress 进步。
graduate,'grædʒueit,,"n. 毕业生, 量杯； a. 已得学位的, 研究生的, 毕业的",,ky|grad,grad,graduated|graduates|graduating,2115,,
aggressive,ә'gresiv,,"a. 侵略的, 挑畔的, 进取的； [法] 侵略的, 爱挑衅的, 行为过火的",,ky|grad,grad,,2514,,
ingredient,in'gri:diәnt,,"n. 成分, 因素； [化] 配合剂; 拼料; 成分; 组分",,ky|grad,grad,ingredients,2590,,
progressive,prә'gresiv,,"n. 改革论者, 进步论者； a. 前进的, 累进的, 进步的",,ky|grad,grad,progressives,4228,,
gradual,'grædʒuәl,,"a. 逐渐的, 渐增的； n. 弥撒升阶圣歌",,ky|grad,grad,,6796,,
campaign,kæm'pein,,"n. 战役, 运动, 竞选运动； vi. 参加运动, 作战",,ky|camp,camp,campaigned|campaigning|campaigns,640,,
campus,'kæmpәs,,"n. 校园, 大学生活",,ky|camp,camp,,2059,,
population,.pɒpju'leiʃәn,,"n. 人口, 人口数； [化] 群体; 总体",,ky|popul,popul,populations,642,,
popular,'pɒpjulә,,"a. 通俗的, 流行的, 受欢迎的, 大众的, 人民的, 普及的； [经] 大众的, 通俗的, 普及的",,ky|popul,popul,populars,924,,
medical,'medikl,,"n. 医生, 体格检查； a. 医学的, 内科的, 药的",,ky|medi,medi,medicals,646,,
medium,'mi:diәm,,"n. 媒体, 方法, 媒介； a. 半生熟的, 中间的",,ky|medi,medi,mediums,3241,,
medieval,.medi'i:vl,,"a. 中古的, 中世纪的",,ky|medi,medi,,5073,,
current,'kʌrәnt,,"n. 涌流, 趋势, 流； a. 流通的, 现在的, 当前的, 流行的",,ky|cur,cur,currents,652,,
occur,ә'kә:,,"vi. 发生, 被想到, 存在",,ky|cur,cur,occurred|occurring|occurs,756,,
incur,in'kә:,,"vt. 招致, 蒙受, 遭遇； [经] 招致, 蒙受, 担负",,ky|cur,cur,incurred|incurring|incurs,8042,,
recur,ri'kә:,,"vi. 复发, 回到, 重现, 再来, 诉诸, 采用, 循环",,ky|cur,cur,recurred|recurring|recurs,13001,,
involve,in'vɒlv,,"vt. 包括, 使陷于, 潜心于, 包围； [医] 累及, 牵涉, 包含",,ky|volv,volv,involved|involves|involving,656,,
evolve,i'vɒlv,,"vi. 进展, 进化, 展开； vt. 使发展, 使推断出, 使进化",,ky|volv,volv,evolved|evolves|evolving,2821,,
behavior,bi'heivjә,,"n. 行为, 举止； [医] 行为",,ky|be,be,behaviors,658,,
beloved,bi'lʌvd,,a. 心爱的； n. 心爱的人,,ky|be,be,beloveds,4947,,
betray,bi'trei,,"vt. 出卖, 背叛, 辜负, 暴露； [法] 出卖, 背叛, 泄漏",,ky|be,be,betrayed|betraying|betrays,4974,,
increase,in'kri:s,,"n. 增加, 增进, 利益； vt. 增加, 加大",,ky|creas,creas,increased|increases|increasing,660,,
decrease,'di:kri:s,,"n. 减少, 减少量； v. 减少",,ky|creas,creas,decreased|decreases|decreasing,3370,,
private,'praivit,,"a. 私人的, 秘密的, 私立的, 隐蔽的； n. 士兵, 隐士, 阴部",,ky|priv,priv,privates,672,,
privacy,'praivәsi,,"n. 隐私, 隐居, 秘密； [计] 个人保密权",,ky|priv,priv,privacies,3060,,
privilege,'privilidʒ,,"n. 特权, 特别恩典, 基本权利, 特免； vt. 给与...特权, 特免",,ky|priv,priv,privileged|privileges|privileging,3612,,
deprive,di'praiv,,"vt. 剥夺, 使丧失； [法] 剥夺, 剥夺, 夺去",,ky|priv,priv,deprived|deprives|depriving,6202,,
performance,pә'fɒ:mәns,,"n. 施行, 工作情况, 成绩, 行为, 表现, 演出； [电] 绩效, 性能",,ky|fourn,fourn,performances,675,,
furnish,'fә:niʃ,,"vt. 供给, 提供, 装设； [化] 供应; 供给; 配料",,ky|fourn,fourn,furnished|furnishes|furnishing,7335,,
agency,'eidʒәnsi,,"n. 代理机构, 经销商, 中介； [化] 办事处",,ky|ag,ag,agencies,694,,
agent,'eidʒәnt,,"n. 代理商, 政府代表, 动原, 媒介； [计] 代理程序",,ky|ag,ag,agents,1020,,
agenda,ә'dʒendә,,"pl. 议程, 日常工作事项； [计] 待议事件",,ky|ag,ag,agendas,2130,,
agitate,'ædʒiteit,,"vt. 使摇动, 搅动, 使激动, 使不安； vi. 鼓动, 煽动",,ky|ag,ag,agitated|agitates|agitating,12134,,
movement,'mu:vmәnt,,"n. 运动, 动作, 运转, 移动, 倾向, 变化, 活动, 乐章； [医] 运动",,ky|mov,mov,movements,707,,
momentum,mәu'mentәm,,"n. 动力, 动量； [化] 动量",,ky|mov,mov,,4335,,
concern,kәn'sә:n,,"n. 关心, 忧虑； vt. 与...有关, 使担心, 使挂念",,ky|cern,cern,concerned|concerning|concerns,717,,
secret,'si:krit,,"n. 秘密, 机密, 秘诀, 秘方； a. 秘密的, 极机密的, 隐蔽的, 暗中的, 神秘的, 偏僻的",,ky|cern,cern,secrets,1868,,
discern,di'zә:n,,"v. 辨别, 看清楚, 了解",,ky|cern,cern,discerned|discerning|discerns,7711,,
discreet,dis'kri:t,,"a. 小心的, 慎重的",,ky|cern,cern,discreetest,11161,,
